Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
16719,Fallout 4,PS4,2015.0,MedianPlaytime,46.0
16720,Fallout 4,XOne,2015.0,MedianPlaytime,46.0
16721,Fallout 4,PC,2015.0,MedianPlaytime,46.0
16722,Spore,PC,2008.0,MedianPlaytime,6.65
16723,Left 4 Dead 2,X360,2009.0,MedianPlaytime,10.5
16724,Left 4 Dead 2,PC,2009.0,MedianPlaytime,10.5
16725,Left 4 Dead,X360,2008.0,MedianPlaytime,7.9
16726,Left 4 Dead,PC,2008.0,MedianPlaytime,7.9
16727,Tomb Raider,PS,1996.0,MedianPlaytime,11.55
16728,Tomb Raider,PC,1996.0,MedianPlaytime,11.55
16729,BioShock Infinite,X360,2013.0,MedianPlaytime,11.9
16730,BioShock Infinite,PS3,2013.0,MedianPlaytime,11.9
16731,BioShock Infinite,PC,2013.0,MedianPlaytime,11.9
16732,Grand Theft Auto IV,X360,2008.0,MedianPlaytime,7.55
16733,Grand Theft Auto IV,PS3,2008.0,MedianPlaytime,7.55
16734,Grand Theft Auto IV,PC,2008.0,MedianPlaytime,7.55
16735,BioShock,X360,2007.0,MedianPlaytime,2.4
16736,BioShock,PS3,2008.0,MedianPlaytime,2.4
16737,BioShock,PC,2007.0,MedianPlaytime,2.4
16738,Ultra Street Fighter IV,PS4,2015.0,MedianPlaytime,4.0
16739,Sid Meier's Civilization V,PC,2010.0,MedianPlaytime,37.0
16740,L.A. Noire,PS3,2011.0,MedianPlaytime,5.65
16741,L.A. Noire,X360,2011.0,MedianPlaytime,5.65
16742,7 Days to Die,PS4,2016.0,MedianPlaytime,11.0
16743,7 Days to Die,XOne,2016.0,MedianPlaytime,11.0
16744,Company of Heroes,PC,2006.0,MedianPlaytime,3.1
16745,Assassin's Creed II,PS3,2009.0,MedianPlaytime,23.0
16746,Assassin's Creed II,X360,2009.0,MedianPlaytime,23.0
16747,Assassin's Creed II,PC,2010.0,MedianPlaytime,23.0
16748,Grand Theft Auto V,PS3,2013.0,MedianPlaytime,49.0
16749,Grand Theft Auto V,X360,2013.0,MedianPlaytime,49.0
16750,Grand Theft Auto V,PS4,2014.0,MedianPlaytime,49.0
16751,Grand Theft Auto V,XOne,2014.0,MedianPlaytime,49.0
16752,Grand Theft Auto V,PC,2015.0,MedianPlaytime,49.0
16753,Far Cry 3,PS3,2012.0,MedianPlaytime,17.8
16754,Far Cry 3,X360,2012.0,MedianPlaytime,17.8
16755,Far Cry 3,PC,2012.0,MedianPlaytime,17.8
16756,Rocket League,PS4,2016.0,MedianPlaytime,18.8
16757,Rocket League,XOne,2016.0,MedianPlaytime,18.8
16758,Rocket League,PC,2016.0,MedianPlaytime,18.8
16759,Far Cry 4,PS4,2014.0,MedianPlaytime,25.0
16760,Far Cry 4,XOne,2014.0,MedianPlaytime,25.0
16761,Far Cry 4,PS3,2014.0,MedianPlaytime,25.0
16762,Far Cry 4,X360,2014.0,MedianPlaytime,25.0
16763,Far Cry 4,PC,2014.0,MedianPlaytime,25.0
16764,Dying Light,PS4,2015.0,MedianPlaytime,23.0
16765,Dying Light,XOne,2015.0,MedianPlaytime,23.0
16766,Dying Light,PC,2015.0,MedianPlaytime,23.0
16767,Just Cause 2,PS3,2010.0,MedianPlaytime,3.5
16768,Just Cause 2,X360,2010.0,MedianPlaytime,3.5
16769,Just Cause 2,PC,2010.0,MedianPlaytime,3.5
16770,Mirror's Edge,X360,2008.0,MedianPlaytime,1.9
16771,Mirror's Edge,PS3,2008.0,MedianPlaytime,1.9
16772,Mirror's Edge,PC,2009.0,MedianPlaytime,1.9
16773,Portal 2,X360,2011.0,MedianPlaytime,10.8
16774,Portal 2,PS3,2011.0,MedianPlaytime,10.8
16775,Portal 2,PC,2011.0,MedianPlaytime,10.8
16776,Tropico 4,X360,,MedianPlaytime,13.600000000000001
16777,Tropico 4,PC,2011.0,MedianPlaytime,13.600000000000001
16778,F.E.A.R.,PS3,2007.0,MedianPlaytime,2.0
16779,F.E.A.R.,X360,2006.0,MedianPlaytime,2.0
16780,Sleeping Dogs,PS3,2012.0,MedianPlaytime,19.6
16781,Sleeping Dogs,X360,2012.0,MedianPlaytime,19.6
16782,Sleeping Dogs,PS4,2014.0,MedianPlaytime,19.6
16783,Sleeping Dogs,XOne,2014.0,MedianPlaytime,19.6
16784,Sleeping Dogs,PC,2012.0,MedianPlaytime,19.6
16785,Saints Row IV,X360,2013.0,MedianPlaytime,13.5
16786,Saints Row IV,PS3,2013.0,MedianPlaytime,13.5
16787,Saints Row IV,PS4,2015.0,MedianPlaytime,13.5
16788,Saints Row IV,XOne,2015.0,MedianPlaytime,13.5
16789,Saints Row IV,PC,2013.0,MedianPlaytime,13.5
16790,Half-Life 2,PC,2004.0,MedianPlaytime,6.6
16791,Half-Life 2,XB,2005.0,MedianPlaytime,6.6
16792,The Talos Principle,PS4,2015.0,MedianPlaytime,7.15
16793,DiRT 3,PS3,2011.0,MedianPlaytime,2.7
16794,DiRT 3,X360,2011.0,MedianPlaytime,2.7
16795,DiRT 3,PC,2011.0,MedianPlaytime,2.7
16796,Metro 2033,X360,2010.0,MedianPlaytime,3.2
16797,Metro 2033,PC,2010.0,MedianPlaytime,3.2
16798,Assassin's Creed III,PS3,2012.0,MedianPlaytime,23.0
16799,Assassin's Creed III,X360,2012.0,MedianPlaytime,23.0
16800,Assassin's Creed III,PC,2012.0,MedianPlaytime,23.0
16801,Assassin's Creed III,WiiU,2012.0,MedianPlaytime,23.0
16802,Sniper Elite 3,PS4,2014.0,MedianPlaytime,6.6
16803,Sniper Elite 3,XOne,2014.0,MedianPlaytime,6.6
16804,Sniper Elite 3,X360,2014.0,MedianPlaytime,6.6
16805,Sniper Elite 3,PS3,2014.0,MedianPlaytime,6.6
16806,Dishonored,X360,2012.0,MedianPlaytime,12.5
16807,Dishonored,PS3,2012.0,MedianPlaytime,12.5
16808,Dishonored,PC,2012.0,MedianPlaytime,12.5
16809,Dishonored,PS4,2015.0,MedianPlaytime,12.5
16810,Dishonored,XOne,2015.0,MedianPlaytime,12.5
16811,Dead Space,PS3,2008.0,MedianPlaytime,1.5
16812,Dead Space,X360,2008.0,MedianPlaytime,1.5
16813,Dead Space,PC,2008.0,MedianPlaytime,1.5
16814,The Binding of Isaac,PC,2012.0,MedianPlaytime,6.1
16815,LEGO The Lord of the Rings,X360,2012.0,MedianPlaytime,3.3499999999999996
16816,LEGO The Lord of the Rings,PS3,2012.0,MedianPlaytime,3.3499999999999996
16817,LEGO The Lord of the Rings,Wii,2012.0,MedianPlaytime,3.3499999999999996
16818,LEGO The Lord of the Rings,3DS,2012.0,MedianPlaytime,3.3499999999999996
16819,LEGO The Lord of the Rings,PSV,2012.0,MedianPlaytime,3.3499999999999996
16820,LEGO The Lord of the Rings,PC,2012.0,MedianPlaytime,3.3499999999999996
16821,LEGO The Lord of the Rings,DS,2012.0,MedianPlaytime,3.3499999999999996
16822,Goat Simulator,XOne,2016.0,MedianPlaytime,2.4
16823,Mass Effect,X360,2007.0,MedianPlaytime,11.5
16824,Mass Effect,PC,2008.0,MedianPlaytime,11.5
16825,DiRT Showdown,X360,2012.0,MedianPlaytime,4.0
16826,DiRT Showdown,PS3,2012.0,MedianPlaytime,4.0
16827,Borderlands 2,X360,2012.0,MedianPlaytime,22.0
16828,Borderlands 2,PS3,2012.0,MedianPlaytime,22.0
16829,Borderlands 2,PC,2012.0,MedianPlaytime,22.0
16830,Borderlands 2,PSV,2014.0,MedianPlaytime,22.0
16831,Trine,PC,2009.0,MedianPlaytime,3.45
16832,Far Cry 2,X360,2008.0,MedianPlaytime,1.7
16833,Far Cry 2,PS3,2008.0,MedianPlaytime,1.7
16834,Far Cry 2,PC,2008.0,MedianPlaytime,1.7
16835,Oil Rush,PC,2012.0,MedianPlaytime,0.6
16836,Psychonauts,XB,2005.0,MedianPlaytime,2.95
16837,Psychonauts,PS2,2005.0,MedianPlaytime,2.95
16838,Dead Island,X360,2011.0,MedianPlaytime,7.6
16839,Dead Island,PS3,2011.0,MedianPlaytime,7.6
16840,Dead Island,PC,2011.0,MedianPlaytime,7.6
16841,GRID 2,PS3,2013.0,MedianPlaytime,10.3
16842,GRID 2,X360,2013.0,MedianPlaytime,10.3
16843,GRID 2,PC,2013.0,MedianPlaytime,10.3
16844,Sonic & All-Stars Racing Transformed,X360,2012.0,MedianPlaytime,2.45
16845,Sonic & All-Stars Racing Transformed,WiiU,2012.0,MedianPlaytime,2.45
16846,Sonic & All-Stars Racing Transformed,PS3,2012.0,MedianPlaytime,2.45
16847,Sonic & All-Stars Racing Transformed,PSV,2012.0,MedianPlaytime,2.45
16848,Sonic & All-Stars Racing Transformed,3DS,2012.0,MedianPlaytime,2.45
16849,Sonic & All-Stars Racing Transformed,PC,2013.0,MedianPlaytime,2.45
16850,Prison Architect,PS4,2016.0,MedianPlaytime,12.5
16851,Prison Architect,XOne,2016.0,MedianPlaytime,12.5
16852,Valkyria Chronicles,PS3,2008.0,MedianPlaytime,5.2
16853,Valkyria Chronicles,PS4,2016.0,MedianPlaytime,5.2
16854,The Crew,PS4,2014.0,MedianPlaytime,23.0
16855,The Crew,XOne,2014.0,MedianPlaytime,23.0
16856,The Crew,X360,2014.0,MedianPlaytime,23.0
16857,The Crew,PC,2014.0,MedianPlaytime,23.0
16858,Sonic Generations,PS3,2011.0,MedianPlaytime,1.95
16859,Sonic Generations,X360,2011.0,MedianPlaytime,1.95
16860,Sonic Generations,3DS,2011.0,MedianPlaytime,1.95
16861,Sonic Generations,PC,2011.0,MedianPlaytime,1.95
16862,Dungeon Defenders,PC,2011.0,MedianPlaytime,7.5
16863,TERA,PC,,MedianPlaytime,5.2
16864,Mafia II,X360,2010.0,MedianPlaytime,16.05
16865,Mafia II,PS3,2010.0,MedianPlaytime,16.05
16866,Mafia II,PC,2010.0,MedianPlaytime,16.05
16867,APB Reloaded,PC,2011.0,MedianPlaytime,3.2
16868,Deadpool,PS3,2013.0,MedianPlaytime,8.2
16869,Deadpool,X360,2013.0,MedianPlaytime,8.2
16870,Deadpool,PS4,2015.0,MedianPlaytime,8.2
16871,Deadpool,XOne,2015.0,MedianPlaytime,8.2
16872,Counter-Strike,XB,2003.0,MedianPlaytime,8.8
16873,Project CARS,PS4,2015.0,MedianPlaytime,9.5
16874,Project CARS,XOne,2015.0,MedianPlaytime,9.5
16875,Project CARS,PC,2015.0,MedianPlaytime,9.5
16876,World of Goo,PC,2008.0,MedianPlaytime,1.0
16877,Machinarium,PC,2009.0,MedianPlaytime,2.05
16878,Braid,PC,2009.0,MedianPlaytime,2.1500000000000004
16879,Botanicula,PC,2012.0,MedianPlaytime,3.25
16880,Terraria,X360,2013.0,MedianPlaytime,20.35
16881,Terraria,PS3,2013.0,MedianPlaytime,20.35
16882,Terraria,PC,2011.0,MedianPlaytime,20.35
16883,Terraria,PSV,2013.0,MedianPlaytime,20.35
16884,Terraria,3DS,2016.0,MedianPlaytime,20.35
16885,Terraria,PS4,2014.0,MedianPlaytime,20.35
16886,Terraria,XOne,2014.0,MedianPlaytime,20.35
16887,Terraria,WiiU,2016.0,MedianPlaytime,20.35
16888,Saints Row 2,X360,2008.0,MedianPlaytime,4.6
16889,Saints Row 2,PS3,2008.0,MedianPlaytime,4.6
16890,Saints Row 2,PC,2009.0,MedianPlaytime,4.6
16891,GRID,PS3,2008.0,MedianPlaytime,3.3499999999999996
16892,GRID,X360,2008.0,MedianPlaytime,3.3499999999999996
16893,GRID,DS,,MedianPlaytime,3.3499999999999996
16894,GRID,PC,,MedianPlaytime,3.3499999999999996
16895,Darksiders,X360,2010.0,MedianPlaytime,5.0
16896,Darksiders,PC,2010.0,MedianPlaytime,5.0
16897,Darksiders,PS3,2010.0,MedianPlaytime,5.0
16898,Worms Reloaded,PC,2010.0,MedianPlaytime,2.4
16899,Alan Wake,X360,2010.0,MedianPlaytime,3.3
16900,Alan Wake,PC,2012.0,MedianPlaytime,3.3
16901,Peggle Nights,PC,2008.0,MedianPlaytime,3.8
16902,Puzzler World 2,DS,2010.0,MedianPlaytime,19.1
16903,Bejeweled 3,DS,,MedianPlaytime,6.199999999999999
16904,Bejeweled 3,PS3,,MedianPlaytime,6.199999999999999
16905,Bejeweled 3,X360,,MedianPlaytime,6.199999999999999
16906,Bejeweled 3,PC,2010.0,MedianPlaytime,6.199999999999999
16907,The Book of Unwritten Tales,PC,2009.0,MedianPlaytime,3.2
16908,The Movies,PC,2005.0,MedianPlaytime,14.5
16909,The Testament of Sherlock Holmes,PS3,2012.0,MedianPlaytime,2.9
16910,The Testament of Sherlock Holmes,PC,2012.0,MedianPlaytime,2.9
16911,The Testament of Sherlock Holmes,X360,2012.0,MedianPlaytime,2.9
16912,Indigo Prophecy,PS2,2005.0,MedianPlaytime,10.1
16913,Indigo Prophecy,XB,2005.0,MedianPlaytime,10.1
16914,Indigo Prophecy,PC,2005.0,MedianPlaytime,10.1
16915,DiRT 2,PS3,2009.0,MedianPlaytime,8.5
16916,DiRT 2,X360,2009.0,MedianPlaytime,8.5
16917,DiRT 2,Wii,2009.0,MedianPlaytime,8.5
16918,DiRT 2,PSP,2009.0,MedianPlaytime,8.5
16919,DiRT 2,DS,2009.0,MedianPlaytime,8.5
16920,DiRT 2,PC,2009.0,MedianPlaytime,8.5
16921,4 Elements,PC,2009.0,MedianPlaytime,10.15
16922,Singularity,X360,,MedianPlaytime,9.55
16923,Singularity,PS3,,MedianPlaytime,9.55
16924,Singularity,PC,2010.0,MedianPlaytime,9.55
16925,CID The Dummy,PSP,2009.0,MedianPlaytime,4.4
16926,CID The Dummy,Wii,2009.0,MedianPlaytime,4.4
16927,The Wolf Among Us,PS4,2014.0,MedianPlaytime,8.4
16928,The Wolf Among Us,PS3,2014.0,MedianPlaytime,8.4
16929,The Wolf Among Us,XOne,2014.0,MedianPlaytime,8.4
16930,The Wolf Among Us,PSV,2014.0,MedianPlaytime,8.4
16931,The Wolf Among Us,X360,2011.0,MedianPlaytime,8.4
16932,State of Decay,XOne,2015.0,MedianPlaytime,3.85
16933,Half-Life,PC,1997.0,MedianPlaytime,1.5
16934,Half-Life,PS2,2001.0,MedianPlaytime,1.5
16935,Trine 2,PC,2011.0,MedianPlaytime,3.4
16936,Trine 2,WiiU,2012.0,MedianPlaytime,3.4
16937,Blur,PS3,2010.0,MedianPlaytime,3.2
16938,Blur,X360,2010.0,MedianPlaytime,3.2
16939,Blur,PC,2010.0,MedianPlaytime,3.2
16940,Magicka,PC,2011.0,MedianPlaytime,6.0
16941,The Longest Journey,PC,1999.0,MedianPlaytime,0.9
16942,Sid Meier's Civilization IV,PC,2005.0,MedianPlaytime,6.1
16943,Euro Truck Simulator 2,PC,2012.0,MedianPlaytime,14.7
16944,Just Cause,X360,2006.0,MedianPlaytime,1.75
16945,Just Cause,PC,2006.0,MedianPlaytime,1.75
16946,Just Cause,PS2,2006.0,MedianPlaytime,1.75
16947,This War of Mine,PS4,2016.0,MedianPlaytime,10.7
16948,Sniper Elite V2,PS3,2012.0,MedianPlaytime,3.2
16949,Sniper Elite V2,X360,2012.0,MedianPlaytime,3.2
16950,Sniper Elite V2,WiiU,2013.0,MedianPlaytime,3.2
16951,Stronghold 3,PC,2011.0,MedianPlaytime,5.550000000000001
16952,Mass Effect 2,X360,2010.0,MedianPlaytime,26.5
16953,Mass Effect 2,PS3,2011.0,MedianPlaytime,26.5
16954,Mass Effect 2,PC,2010.0,MedianPlaytime,26.5
16955,Borderlands,X360,2009.0,MedianPlaytime,13.75
16956,Borderlands,PS3,2009.0,MedianPlaytime,13.75
16957,Borderlands,PC,2009.0,MedianPlaytime,13.75
16958,EVE Online,PC,2003.0,MedianPlaytime,21.0
16959,DC Universe Online,PS3,2011.0,MedianPlaytime,4.3
16960,DC Universe Online,PC,2011.0,MedianPlaytime,4.3
16961,RIFT,PC,2011.0,MedianPlaytime,5.9
16962,Darksiders II,PS3,2012.0,MedianPlaytime,13.5
16963,Darksiders II,X360,2012.0,MedianPlaytime,13.5
16964,Darksiders II,PS4,2015.0,MedianPlaytime,13.5
16965,Darksiders II,PC,2012.0,MedianPlaytime,13.5
16966,Darksiders II,WiiU,2012.0,MedianPlaytime,13.5
16967,Darksiders II,XOne,2015.0,MedianPlaytime,13.5
16968,Anno 2070,PC,2011.0,MedianPlaytime,13.7
16969,Chessmaster,PS2,2003.0,MedianPlaytime,1.8
16970,Chessmaster,XB,2004.0,MedianPlaytime,1.8
16971,Chessmaster,GBA,2002.0,MedianPlaytime,1.8
16972,Might & Magic Heroes VI,PC,2011.0,MedianPlaytime,17.2
16973,Trapped Dead,PC,2011.0,MedianPlaytime,0.95
16974,Torchlight,PC,2009.0,MedianPlaytime,7.4
16975,Titan Quest,PC,2006.0,MedianPlaytime,0.7
16976,Duke Nukem Forever,X360,2011.0,MedianPlaytime,8.8
16977,Duke Nukem Forever,PS3,2011.0,MedianPlaytime,8.8
16978,Duke Nukem Forever,PC,2011.0,MedianPlaytime,8.8
16979,Company of Heroes 2,PC,2013.0,MedianPlaytime,12.8
16980,Battlefield 2,PC,2005.0,MedianPlaytime,1.8
16981,Men of War,PC,2009.0,MedianPlaytime,11.1
16982,Full Spectrum Warrior,XB,2004.0,MedianPlaytime,6.6000000000000005
16983,Full Spectrum Warrior,PS2,2005.0,MedianPlaytime,6.6000000000000005
16984,DiRT Rally,PS4,2016.0,MedianPlaytime,6.8999999999999995
16985,DiRT Rally,XOne,2016.0,MedianPlaytime,6.8999999999999995
16986,DiRT Rally,PC,2016.0,MedianPlaytime,6.8999999999999995
16987,Defiance,X360,2013.0,MedianPlaytime,3.5
16988,Defiance,PS3,2013.0,MedianPlaytime,3.5
16989,Defiance,PC,2013.0,MedianPlaytime,3.5
16990,Tropico 5,PS4,2015.0,MedianPlaytime,16.6
16991,Tropico 5,PC,2014.0,MedianPlaytime,16.6
16992,Tropico 5,X360,2014.0,MedianPlaytime,16.6
16993,Football Manager 2013,PC,2012.0,MedianPlaytime,144.0
16994,Two Worlds II,X360,2011.0,MedianPlaytime,3.6
16995,Two Worlds II,PS3,2011.0,MedianPlaytime,3.6
16996,Two Worlds II,PC,2011.0,MedianPlaytime,3.6
16997,LEGO The Hobbit,PS4,2014.0,MedianPlaytime,7.2
16998,LEGO The Hobbit,PS3,2014.0,MedianPlaytime,7.2
16999,LEGO The Hobbit,X360,2014.0,MedianPlaytime,7.2
17000,LEGO The Hobbit,XOne,2014.0,MedianPlaytime,7.2
