Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
17281,Railroad Tycoon 3,PC,2003.0,MedianPlaytime,1.0
17282,DarkStar One,PC,2006.0,MedianPlaytime,14.1
17283,Rayman Origins,PS3,2011.0,MedianPlaytime,10.399999999999999
17284,Rayman Origins,X360,2011.0,MedianPlaytime,10.399999999999999
17285,Rayman Origins,Wii,2011.0,MedianPlaytime,10.399999999999999
17286,Rayman Origins,PSV,2012.0,MedianPlaytime,10.399999999999999
17287,Rayman Origins,3DS,2012.0,MedianPlaytime,10.399999999999999
17288,Rayman Origins,PC,2012.0,MedianPlaytime,10.399999999999999
17289,Order of War,PC,2009.0,MedianPlaytime,1.5
17290,War for the Overworld,PC,2015.0,MedianPlaytime,11.2
17291,Assassin's Creed Syndicate,PS4,2015.0,MedianPlaytime,35.0
17292,Assassin's Creed Syndicate,XOne,2015.0,MedianPlaytime,35.0
17293,Assassin's Creed Syndicate,PC,2015.0,MedianPlaytime,35.0
17294,The Bard's Tale,PS2,2004.0,MedianPlaytime,1.4
17295,The Bard's Tale,XB,2004.0,MedianPlaytime,1.4
17296,Demigod,PC,2009.0,MedianPlaytime,2.2
17297,F1 2010,PS3,2010.0,MedianPlaytime,19.3
17298,F1 2010,X360,2010.0,MedianPlaytime,19.3
17299,F1 2010,PC,2010.0,MedianPlaytime,19.3
17300,Mechanic Escape,PS3,2012.0,MedianPlaytime,1.75
17301,The Inner World,PC,2013.0,MedianPlaytime,1.3
17302,Age of Empires Online,PC,2011.0,MedianPlaytime,88.5
17303,Act of Aggression,PC,2015.0,MedianPlaytime,3.25
17304,Port Royale 3,PS3,,MedianPlaytime,5.2
17305,Port Royale 3,X360,,MedianPlaytime,5.2
17306,F1 2015,PS4,2015.0,MedianPlaytime,10.85
17307,F1 2015,XOne,2015.0,MedianPlaytime,10.85
17308,F1 2015,PC,2015.0,MedianPlaytime,10.85
17309,Stronghold Legends,PC,2006.0,MedianPlaytime,0.7
17310,Dragon Age II,X360,2011.0,MedianPlaytime,70.0
17311,Dragon Age II,PS3,2011.0,MedianPlaytime,70.0
17312,Dragon Age II,PC,2011.0,MedianPlaytime,70.0
17313,F1 2011,PS3,2011.0,MedianPlaytime,10.1
17314,F1 2011,X360,2011.0,MedianPlaytime,10.1
17315,F1 2011,PC,2011.0,MedianPlaytime,10.1
17316,F1 2011,3DS,2011.0,MedianPlaytime,10.1
17317,F1 2011,PSV,2011.0,MedianPlaytime,10.1
17318,Quake 4,X360,2005.0,MedianPlaytime,0.2
17319,Quake 4,PC,2005.0,MedianPlaytime,0.2
17320,Sacred 3,PS3,2014.0,MedianPlaytime,4.95
17321,Sacred 3,X360,2014.0,MedianPlaytime,4.95
17322,Sacred 3,PC,2014.0,MedianPlaytime,4.95
17323,Front Mission Evolved,PS3,2010.0,MedianPlaytime,5.8
17324,Front Mission Evolved,X360,2010.0,MedianPlaytime,5.8
17325,Front Mission Evolved,PC,2010.0,MedianPlaytime,5.8
17326,Quake,N64,1998.0,MedianPlaytime,2.3499999999999996
17327,DiRT,PS3,2007.0,MedianPlaytime,4.0
17328,DiRT,X360,2007.0,MedianPlaytime,4.0
17329,DiRT,PC,2007.0,MedianPlaytime,4.0
17330,Fairy Fencer F,PS3,2013.0,MedianPlaytime,28.0
17331,Rugby League Team Manager 2015,PC,2015.0,MedianPlaytime,10.25
17332,MLB Front Office Manager,PS3,2009.0,MedianPlaytime,5.6
17333,MLB Front Office Manager,X360,2009.0,MedianPlaytime,5.6
17334,Guilty Gear X2 #Reload,XB,2004.0,MedianPlaytime,0.55
17335,Euro Truck Simulator,PC,2008.0,MedianPlaytime,0.44999999999999996
17336,Pro Evolution Soccer 2016,PS4,2015.0,MedianPlaytime,50.0
17337,Pro Evolution Soccer 2016,PS3,2015.0,MedianPlaytime,50.0
17338,Pro Evolution Soccer 2016,XOne,2015.0,MedianPlaytime,50.0
17339,Pro Evolution Soccer 2016,X360,2015.0,MedianPlaytime,50.0
17340,Pro Evolution Soccer 2016,PC,2015.0,MedianPlaytime,50.0
17341,Emergency 2012,PC,2010.0,MedianPlaytime,46.0
17342,Emergency 2012,DS,2010.0,MedianPlaytime,46.0
17343,Cities XL 2011,PC,2010.0,MedianPlaytime,6.5
17344,Terminator Salvation,PS3,2009.0,MedianPlaytime,3.7
17345,Terminator Salvation,X360,2009.0,MedianPlaytime,3.7
17346,World in Conflict,PC,2007.0,MedianPlaytime,0.55
17347,Unreal Tournament 2004,PC,2004.0,MedianPlaytime,2.0
17348,Max Payne,PS2,2001.0,MedianPlaytime,1.15
17349,Max Payne,XB,2001.0,MedianPlaytime,1.15
17350,Max Payne,GBA,2003.0,MedianPlaytime,1.15
17351,Max Payne,PC,2001.0,MedianPlaytime,1.15
17352,Platypus,PSP,2006.0,MedianPlaytime,3.0500000000000003
17353,Knights of Honor,PC,2004.0,MedianPlaytime,20.55
17354,Virtua Tennis 4,PS3,2011.0,MedianPlaytime,2.5
17355,Virtua Tennis 4,X360,2011.0,MedianPlaytime,2.5
17356,Virtua Tennis 4,Wii,2011.0,MedianPlaytime,2.5
17357,Virtua Tennis 4,PC,2011.0,MedianPlaytime,2.5
17358,NBA 2K13,X360,2012.0,MedianPlaytime,59.0
17359,NBA 2K13,PS3,2012.0,MedianPlaytime,59.0
17360,NBA 2K13,Wii,2012.0,MedianPlaytime,59.0
17361,NBA 2K13,WiiU,2012.0,MedianPlaytime,59.0
17362,NBA 2K13,PC,2012.0,MedianPlaytime,59.0
17363,F1 Race Stars,PS3,2012.0,MedianPlaytime,4.0
17364,F1 Race Stars,X360,2012.0,MedianPlaytime,4.0
17365,F1 Race Stars,PC,2012.0,MedianPlaytime,4.0
17366,Darkspore,PC,2011.0,MedianPlaytime,18.450000000000003
17367,Silent Hunter III,PC,2005.0,MedianPlaytime,2.7
17368,Grand Theft Auto 2,PS,1998.0,MedianPlaytime,0.2
17369,Mafia,PS2,2004.0,MedianPlaytime,7.6
17370,Mafia,XB,2004.0,MedianPlaytime,7.6
17371,Mafia,PC,2002.0,MedianPlaytime,7.6
17372,Blades of Time,X360,2012.0,MedianPlaytime,2.25
17373,Blades of Time,PS3,2012.0,MedianPlaytime,2.25
17374,The 7th Guest,PC,1992.0,MedianPlaytime,0.25
17375,Dungeons 2,PS4,2016.0,MedianPlaytime,14.0
17376,Hotel Giant 2,PC,2008.0,MedianPlaytime,44.0
17377,East India Company,PC,2009.0,MedianPlaytime,50.0
17378,Crysis 2,X360,2011.0,MedianPlaytime,18.0
17379,Crysis 2,PS3,2011.0,MedianPlaytime,18.0
17380,Crysis 2,PC,2011.0,MedianPlaytime,18.0
17381,Contrast,PC,2013.0,MedianPlaytime,4.1
17382,TimeShift,X360,2007.0,MedianPlaytime,2.9
17383,TimeShift,PS3,2007.0,MedianPlaytime,2.9
17384,TimeShift,PC,2007.0,MedianPlaytime,2.9
17385,Tomb Raider Chronicles,PS,1999.0,MedianPlaytime,1.7
17386,MDK,PS,1997.0,MedianPlaytime,1.1
17387,The Void,PC,2008.0,MedianPlaytime,0.6
17388,Arx Fatalis,XB,2003.0,MedianPlaytime,0.8
17389,Dark Void,PS3,2010.0,MedianPlaytime,0.4
17390,Dark Void,X360,2010.0,MedianPlaytime,0.4
17391,Dark Void,PC,2010.0,MedianPlaytime,0.4
17392,Ship Simulator Extremes,PC,2010.0,MedianPlaytime,1.9
17393,Lost Horizon,PC,2010.0,MedianPlaytime,25.0
17394,The Next BIG Thing,PC,2011.0,MedianPlaytime,1.35
17395,Enemy Front,PS3,2014.0,MedianPlaytime,8.1
17396,Enemy Front,X360,2014.0,MedianPlaytime,8.1
17397,Street Fighter X Tekken,PS3,2012.0,MedianPlaytime,4.0
17398,Street Fighter X Tekken,X360,2012.0,MedianPlaytime,4.0
17399,Street Fighter X Tekken,PSV,2012.0,MedianPlaytime,4.0
17400,Street Fighter X Tekken,PC,2012.0,MedianPlaytime,4.0
17401,Wolfenstein 3D,GBA,2002.0,MedianPlaytime,0.3
17402,FlatOut,PS2,2004.0,MedianPlaytime,0.6
17403,FlatOut,XB,2004.0,MedianPlaytime,0.6
17404,Stormrise,PS3,2009.0,MedianPlaytime,0.35
17405,Stormrise,X360,2009.0,MedianPlaytime,0.35
17406,Stormrise,PC,2009.0,MedianPlaytime,0.35
17407,Anno 2205,PC,2015.0,MedianPlaytime,22.0
17408,Hospital Tycoon,PC,2007.0,MedianPlaytime,1.4
17409,Crazy Taxi,PS2,2001.0,MedianPlaytime,0.6
17410,Crazy Taxi,DC,2000.0,MedianPlaytime,0.6
17411,Crazy Taxi,GC,2001.0,MedianPlaytime,0.6
17412,Section 8,X360,2009.0,MedianPlaytime,2.1
17413,Section 8,PC,2009.0,MedianPlaytime,2.1
17414,The Golf Club,PS4,2014.0,MedianPlaytime,10.45
17415,The Golf Club,XOne,2014.0,MedianPlaytime,10.45
17416,Dollar Dash,PS2,2005.0,MedianPlaytime,1.0
17417,Shadow Man,N64,1999.0,MedianPlaytime,0.3
17418,Shadow Man,PS,1998.0,MedianPlaytime,0.3
17419,Stubbs the Zombie in Rebel Without a Pulse,XB,2005.0,MedianPlaytime,2.5500000000000003
17420,Red Faction II,PS2,2002.0,MedianPlaytime,2.7
17421,Red Faction II,XB,2003.0,MedianPlaytime,2.7
17422,Red Faction II,GC,2003.0,MedianPlaytime,2.7
17423,Beyond Good & Evil,PS2,2003.0,MedianPlaytime,1.0
17424,Beyond Good & Evil,XB,2003.0,MedianPlaytime,1.0
17425,Beyond Good & Evil,GC,2003.0,MedianPlaytime,1.0
17426,Guild Wars Trilogy,PC,2005.0,MedianPlaytime,9.9
17427,Puzzle Chronicles,PSP,2010.0,MedianPlaytime,0.9
17428,Velvet Assassin,X360,2009.0,MedianPlaytime,0.75
17429,The Night of the Rabbit,PC,2013.0,MedianPlaytime,8.4
17430,Gun Metal,XB,2002.0,MedianPlaytime,4.45
17431,Lara Croft and the Temple of Osiris,PS4,2014.0,MedianPlaytime,2.7
17432,Lara Croft and the Temple of Osiris,PC,2014.0,MedianPlaytime,2.7
17433,MX vs. ATV Reflex,PS3,2009.0,MedianPlaytime,0.7
17434,MX vs. ATV Reflex,X360,2009.0,MedianPlaytime,0.7
17435,MX vs. ATV Reflex,PSP,2009.0,MedianPlaytime,0.7
17436,MX vs. ATV Reflex,DS,2009.0,MedianPlaytime,0.7
17437,Praetorians,PC,2003.0,MedianPlaytime,0.15000000000000002
17438,GTR Evolution,PC,2008.0,MedianPlaytime,6.6
17439,Clockwork Empires,PC,,MedianPlaytime,8.5
17440,Shantae and the Pirate's Curse,3DS,2015.0,MedianPlaytime,6.0
17441,Damnation,PS3,2009.0,MedianPlaytime,0.2
17442,Damnation,X360,2009.0,MedianPlaytime,0.2
17443,MX vs. ATV Supercross Encore,PS4,2015.0,MedianPlaytime,3.9
17444,MX vs. ATV Supercross Encore,XOne,2015.0,MedianPlaytime,3.9
17445,Elven Legacy,PC,2009.0,MedianPlaytime,10.8
17446,Worms,PS3,2009.0,MedianPlaytime,0.5
17447,Worms,X360,2007.0,MedianPlaytime,0.5
17448,Obscure,PS2,2004.0,MedianPlaytime,7.9
17449,Obscure,XB,2004.0,MedianPlaytime,7.9
17450,Haunted House,Wii,2010.0,MedianPlaytime,0.2
17451,Republique,PS4,2016.0,MedianPlaytime,3.65
17452,Still Life,XB,2005.0,MedianPlaytime,0.4
17453,Crazy Machines,DS,2008.0,MedianPlaytime,1.5
17454,Crazy Machines,Wii,2010.0,MedianPlaytime,1.5
17455,Impossible Creatures,PC,2002.0,MedianPlaytime,1.2
17456,Monopoly,PC,1994.0,MedianPlaytime,4.95
17457,Monopoly,Wii,2008.0,MedianPlaytime,4.95
17458,Monopoly,PS,1997.0,MedianPlaytime,4.95
17459,Monopoly,X360,2008.0,MedianPlaytime,4.95
17460,Monopoly,PS2,2008.0,MedianPlaytime,4.95
17461,Monopoly,PS3,2008.0,MedianPlaytime,4.95
17462,Monopoly,DS,2010.0,MedianPlaytime,4.95
17463,Monopoly,N64,1999.0,MedianPlaytime,4.95
17464,Split/Second,PS3,2010.0,MedianPlaytime,3.95
17465,Split/Second,X360,2010.0,MedianPlaytime,3.95
17466,Split/Second,PSP,2010.0,MedianPlaytime,3.95
17467,Split/Second,PC,2010.0,MedianPlaytime,3.95
17468,RollerCoaster Tycoon,XB,2003.0,MedianPlaytime,1.4
17469,RollerCoaster Tycoon,PC,,MedianPlaytime,1.4
17470,Dawn of Discovery,PC,2009.0,MedianPlaytime,9.100000000000001
17471,Dawn of Discovery,Wii,2009.0,MedianPlaytime,9.100000000000001
17472,Dawn of Discovery,DS,2009.0,MedianPlaytime,9.100000000000001
17473,Ski Region Simulator,PC,2011.0,MedianPlaytime,5.699999999999999
17474,Call of Juarez,X360,2007.0,MedianPlaytime,6.0
17475,Call of Juarez,PC,2006.0,MedianPlaytime,6.0
17476,Gray Matter,PC,2011.0,MedianPlaytime,12.6
17477,Gray Matter,X360,2011.0,MedianPlaytime,12.6
17478,The Book of Unwritten Tales 2,PS4,2015.0,MedianPlaytime,13.5
17479,The Book of Unwritten Tales 2,WiiU,2016.0,MedianPlaytime,13.5
17480,Clive Barker's Jericho,X360,2007.0,MedianPlaytime,7.949999999999999
17481,Clive Barker's Jericho,PS3,2007.0,MedianPlaytime,7.949999999999999
17482,Clive Barker's Jericho,PC,2007.0,MedianPlaytime,7.949999999999999
17483,Post Mortem,PC,2003.0,MedianPlaytime,2.1
17484,Ford Racing 3,PS2,2004.0,MedianPlaytime,0.5
17485,Ford Racing 3,DS,2005.0,MedianPlaytime,0.5
17486,Ford Racing 3,XB,2004.0,MedianPlaytime,0.5
17487,Ford Racing 3,GBA,2005.0,MedianPlaytime,0.5
17488,Shattered Union,XB,2005.0,MedianPlaytime,116.0
17489,Port Royale 2,PC,2004.0,MedianPlaytime,43.95
17490,Blitzkrieg 2 Anthology,PC,2008.0,MedianPlaytime,1.1
17491,Rogue Trooper,PS2,2006.0,MedianPlaytime,5.3
17492,Rogue Trooper,XB,2006.0,MedianPlaytime,5.3
17493,Tom Clancy's Ghost Recon Advanced Warfighter,X360,2006.0,MedianPlaytime,18.6
17494,Tom Clancy's Ghost Recon Advanced Warfighter,XB,2006.0,MedianPlaytime,18.6
17495,Colin McRae Rally,PS,1998.0,MedianPlaytime,3.3000000000000003
17496,Guilty Gear Isuka,PS2,2004.0,MedianPlaytime,1.6
17497,The Club,X360,2008.0,MedianPlaytime,1.3
17498,The Club,PS3,2008.0,MedianPlaytime,1.3
17499,Azure Striker Gunvolt,3DS,2016.0,MedianPlaytime,5.5
17500,Midnight Club II,PS2,2003.0,MedianPlaytime,8.1
17501,Midnight Club II,XB,2003.0,MedianPlaytime,8.1
17502,Pro Evolution Soccer 2014,PS3,2013.0,MedianPlaytime,28.0
17503,Pro Evolution Soccer 2014,X360,2013.0,MedianPlaytime,28.0
17504,Pro Evolution Soccer 2014,3DS,2013.0,MedianPlaytime,28.0
17505,Pro Evolution Soccer 2014,PSP,2013.0,MedianPlaytime,28.0
17506,Pro Evolution Soccer 2014,PC,2013.0,MedianPlaytime,28.0
17507,Darkstone,PS,2001.0,MedianPlaytime,18.6
17508,Puzzle Quest 2,DS,2010.0,MedianPlaytime,1.4
17509,Don Bradman Cricket 14,PS4,2015.0,MedianPlaytime,89.0
17510,Don Bradman Cricket 14,XOne,2015.0,MedianPlaytime,89.0
17511,Don Bradman Cricket 14,PS3,2014.0,MedianPlaytime,89.0
17512,Wolfenstein,PS3,2009.0,MedianPlaytime,26.0
17513,Wolfenstein,X360,2009.0,MedianPlaytime,26.0
17514,Wolfenstein,PC,2009.0,MedianPlaytime,26.0
17515,Mega Man Legacy Collection,3DS,2016.0,MedianPlaytime,6.4
17516,Mega Man Legacy Collection,PS4,2016.0,MedianPlaytime,6.4
17517,BloodRayne 2,PS2,2004.0,MedianPlaytime,2.9
17518,BloodRayne 2,XB,2004.0,MedianPlaytime,2.9
17519,The Whispered World,PC,2009.0,MedianPlaytime,1.6
17520,NBA 2K11,X360,2010.0,MedianPlaytime,0.2
17521,NBA 2K11,PS3,2010.0,MedianPlaytime,0.2
17522,NBA 2K11,Wii,2010.0,MedianPlaytime,0.2
17523,NBA 2K11,PSP,2010.0,MedianPlaytime,0.2
17524,NBA 2K11,PS2,2010.0,MedianPlaytime,0.2
17525,NBA 2K11,PC,2010.0,MedianPlaytime,0.2
17526,Wildlife Park 3,PC,2011.0,MedianPlaytime,2.8
17527,NBA 2K12,X360,2011.0,MedianPlaytime,91.25
17528,NBA 2K12,PS3,2011.0,MedianPlaytime,91.25
17529,NBA 2K12,Wii,2011.0,MedianPlaytime,91.25
17530,NBA 2K12,PSP,2011.0,MedianPlaytime,91.25
17531,NBA 2K12,PC,2011.0,MedianPlaytime,91.25
17532,Tom Clancy's Ghost Recon,PS2,2002.0,MedianPlaytime,0.25
17533,Tom Clancy's Ghost Recon,XB,2002.0,MedianPlaytime,0.25
17534,Tom Clancy's Ghost Recon,GC,2003.0,MedianPlaytime,0.25
17535,Tom Clancy's Ghost Recon,Wii,2010.0,MedianPlaytime,0.25
17536,Pro Evolution Soccer 2013,PS3,2012.0,MedianPlaytime,5.6
17537,Pro Evolution Soccer 2013,X360,2012.0,MedianPlaytime,5.6
17538,Pro Evolution Soccer 2013,PSP,2012.0,MedianPlaytime,5.6
17539,Pro Evolution Soccer 2013,3DS,2012.0,MedianPlaytime,5.6
17540,Pro Evolution Soccer 2013,Wii,2012.0,MedianPlaytime,5.6
17541,Pro Evolution Soccer 2013,PC,2012.0,MedianPlaytime,5.6
17542,Breach,PC,2011.0,MedianPlaytime,3.1
17543,Dream Pinball 3D,Wii,2008.0,MedianPlaytime,0.4
17544,Dream Pinball 3D,DS,2008.0,MedianPlaytime,0.4
17545,Bionic Commando,PS3,2009.0,MedianPlaytime,1.2
17546,Bionic Commando,X360,2009.0,MedianPlaytime,1.2
17547,Championship Manager 2010,PC,2009.0,MedianPlaytime,10.7
17548,Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,2007.0,MedianPlaytime,0.3
17549,Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,2007.0,MedianPlaytime,0.3
17550,Tom Clancy's Ghost Recon Advanced Warfighter 2,PSP,2007.0,MedianPlaytime,0.3
17551,Imperial Glory,PC,2005.0,MedianPlaytime,170.0
17552,Jack Keane,PC,2008.0,MedianPlaytime,2.2
17553,BloodRayne,PS2,2002.0,MedianPlaytime,6.6
17554,BloodRayne,XB,2002.0,MedianPlaytime,6.6
17555,BloodRayne,GC,2002.0,MedianPlaytime,6.6
17556,Worldwide Soccer Manager 2009,PC,2008.0,MedianPlaytime,295.0
